x,y,class
-29.187375745526822,25.286354581673294,1
-22.82554671968191,25.286354581673294,1
-11.692345924453264,24.489541832669318,1
-6.125745526838983,18.911852589641427,1
-6.125745526838983,15.724601593625493,1
-8.511431411530822,7.756474103585674,1
-12.487574552683895,6.162848605577693,1
-17.2589463220676,2.178784860557755,1
-22.030318091451278,2.178784860557755,1
-24.416003976143145,4.569223107569741,1
-27.596918489065615,6.162848605577693,1
-29.187375745526822,16.52141434262947,1
-30.777833001988057,18.11503984063745,1
-29.187375745526822,23.69272908366534,1
-29.982604373757454,10.146912350597603,1
-15.668489065606366,24.489541832669318,1
-14.07803180914513,168.71264940239044,0
-9.306660039761425,168.71264940239044,0
20.116799204771354,160.7445219123506,0
42.383200795228646,151.97958167330677,0
55.10685884691847,139.23057768924303,0
71.01143141153085,124.88794820717132,0
90.09691848906562,99.38994023904382,0
92.48260437375745,64.33017928286853,0
94.86829025844929,38.035358565737056,0
98.8444333996024,3.772410358565736,0
84.5303180914513,-20.13197211155378,0
63.059145129224646,-44.03635458167332,0
40.79274353876738,-69.53436254980079,0
-0.5591451292246461,-77.50249003984061,0
-23.620775347912513,-82.28336653386452,0
-62.58697813121273,-83.08017928286853,0
-99.16749502982107,-73.5184262948207,0
-111.89115308151094,-58.37898406374501,0
-125.41003976143142,-39.25547808764941,0
-135.74801192842943,2.178784860557755,0
-132.56709741550696,35.6449203187251,0
-123.81958250497019,71.50149402390437,0
-111.89115308151094,95.4058764940239,0
-90.41998011928429,117.71663346613546,0
-63.38220675944336,140.824203187251,0
-42.706262425447306,157.55727091633466,0
