x,y,class
-71.17085661080074,-45.18156424581002,1
-68.1913407821229,-35.49813780260709,1
-65.95670391061452,-34.008379888268166,1
-62.977188081936674,-26.559590316573576,1
-60.7425512104283,-25.8147113594041,1
-57.763035381750484,-21.34543761638733,1
-53.29376163873371,-18.36592178770951,1
-48.82448789571694,-14.641527001862187,1
-38.396182495344505,-9.427374301675997,1
-33.182029795158286,-4.9581005586592255,1
-42.865456238361276,-13.89664804469274,1
-37.65130353817506,-10.172253258845444,1
-27.967877094972067,-0.488826815642426,1
-27.967877094972067,-0.488826815642426,1
-20.519087523277477,0.2560521415269932,1
-16.049813780260706,5.470204841713212,1
-6.366387337057716,12.174115456238354,1
-5.621508379888269,13.663873370577278,1
4.0619180633146925,21.112662942271868,1
-10.835661080074487,11.429236499068907,1
0.33752327746742594,17.388268156424573,1
8.531191806331464,21.857541899441344,1
13.000465549348206,27.071694599627563,1
15.979981378026054,29.306331471135962,1
20.449255121042796,36.010242085661076,1
24.17364990689012,40.47951582867785,1
27.153165735567967,44.20391061452514,1
-61.48743016759778,61.33612662942272,0
-59.997672253258855,57.61173184357543,0
-58.50791433891993,55.377094972067056,0
-53.29376163873371,52.39757914338921,0
-48.82448789571694,42.71415270018622,0
-51.80400372439479,50.907821229050285,0
-48.82448789571694,45.69366852886404,0
-47.33472998137802,44.94878957169459,0
-43.61033519553072,40.47951582867785,0
-43.61033519553072,40.47951582867785,0
-38.396182495344505,35.26536312849163,0
-38.396182495344505,35.26536312849163,0
-34.67178770949721,30.05121042830541,0
-31.692271880819362,24.837057728119163,0
-30.947392923649886,21.857541899441344,0
-27.967877094972067,15.89851024208565,0
-21.263966480446925,3.980446927374288,0
-24.98836126629422,8.44972067039106,0
-20.519087523277477,2.4906890130353645,0
-17.53957169459963,-4.2132216014897494,0
-16.794692737430182,-4.2132216014897494,0
-13.815176908752335,-8.68249534450652,0
-13.070297951582887,-10.91713221601492,0
-11.580540037243964,-13.89664804469274,0
-6.366387337057716,-16.13128491620111,0
-3.3868715083798975,-19.11080074487893,0
2.5721601489757973,-24.324953445065177,0
2.5721601489757973,-24.324953445065177,0
7.04143389199254,-25.8147113594041,0
7.786312849162016,-30.283985102420843,0
7.786312849162016,-30.283985102420843,0
13.74534450651771,-34.753258845437614,0
18.9594972067039,-39.96741154562383,0
19.704376163873377,-40.71229050279328,0
21.939013035381777,-42.94692737430168,0
24.918528864059596,-46.67132216014895,0
-24.98836126629422,9.194599627560535,0
-22.0088454376164,6.959962756052164,0
-22.0088454376164,1.7458100558659169,0
-18.284450651769077,0.2560521415269932,0
-25.733240223463696,12.174115456238354,0
